state,Farm,Plant_folder,locid,latitude,longitude,Hhgt,avc,WTG,ABT,GKFS_name,PSS,Plants_source,REVFORMAT,filename,Cutin_speed,Turbine_count
AP,AMIDYALA,AMIDYALA,,14.815438,77.210792,90,226.8,yes,no,AMIDYALA,AMIDYALA,Greenko,sldc,rev0,2.5,108
AP,ANANTPURA,ANANTPURA,,14.657,77.3637,90,10,yes,no,ANANTPURA,ANANTPURA,Greenko,sldc,rev0,4.5,5
AP,ANIMALA,ANIMALA,,14.4793,78.5276,90,84,yes,no,ANIMALA,ANIMALA,Greenko,sldc,rev0,3.5,42
AP,AXIS,AXIS,,14.7886,77.3629,106,100,yes,no,AXIS,AXIS,Greenko,sldc,rev0,3,52
AP,Beluguppa,BELUGUPPA,,14.7139,77.1481,90,100.8,yes,no,Beluguppa,Beluguppa,Greenko,sldc,rev0,2.5,48
MP,Bercha,BERCHA,,23.278,75.253,104,50,yes,no,Bercha,Bercha,Greenko,sldc,rev0,3.5,25
RJ,Bhesada,Bhesada,,26.634,71.591,80,39.9,yes,no,Bhesada,Bhesada,Greenko,sldc,rev0,4.5,19
RJ,Dalot,DALOT,,23.62,74.79,85,28.5,yes,no,Dalot,Dalot,Greenko,sldc,rev0,3.5,19
RJ,Devgarh,DEVGARH,,23.989,74.6453,85,13.5,yes,no,Devgarh,Devgarh,Greenko,sldc,rev0,4,9
KA,BAGEWADI,FORTUNEFIVE,,16.58859,76.021157,90,165.2,yes,no,FORTUNEFIVE,FORTUNEFIVE,Greenko,remc,rev0/revda4,3.5,17
KA,FORTUNEFIVE,FORTUNEFIVE,,16.6362,76.0507,80,165.2,yes,yes,FORTUNEFIVE,FORTUNEFIVE,Greenko,remc,rev0/revda4,3.3,57
KA,MANGALORE,FORTUNEFIVE,,16.62819,76.02114,85,165.2,yes,no,FORTUNEFIVE,FORTUNEFIVE,Greenko,remc,rev0/revda4,4,10
KA,MATRIX,FORTUNEFIVE,,16.6563,76.01562,85,165.2,yes,no,FORTUNEFIVE,FORTUNEFIVE,Greenko,remc,rev0/revda4,4,10
KA,Gurmitkal,GURMITKAL,,16.868,77.407,104,60,yes,no,Gurmitkal,Gurmitkal,Greenko,remc,rev0/revda4,2.8,30
KA,HEBBAL,HEBBAL,,16.488,75.969,104,24,yes,no,HEBBAL,HEBBAL,Greenko,remc,rev0/revda4,4,12
MH,Khanapur,Khanapur,,17.255,74.716,104,32,yes,no,Khanapur,Khanapur,Greenko,remc,revda1/revda4,3.5,17
KA,KUSHTAGI,KUSHTAGI,,15.908,76.234,120,107.1,yes,no,KUSHTAGI,KUSHTAGI,Greenko,remc,rev0/revda4,2.8,24
KA,SAROJA,SAROJA,,15.917633,76.16624,120,107.1,yes,no,KUSHTAGI,KUSHTAGI,Greenko,remc,rev0/revda4,3.1,17
KA,SHANAY,SHANAY,,15.883,76.1896,120,107.1,yes,no,KUSHTAGI,KUSHTAGI,Greenko,remc,rev0/revda4,4,10
GJ,Maliya,MALIYA,,23.12,70.802,106,40,yes,no,Maliya,Maliya,Greenko,remc,revda1/revda4,3.5,20
MP,Mamathkheda,Mamathkheda,,23.805,74.975,85,100.5,yes,no,Mamathkheda,Mamathkheda,Greenko,sldc,rev0,2.2,67
AP,Nimbagallu,NIMBAGALLU,,14.866153,77.2205,104,100,yes,no,Nimbagallu,Nimbagallu,Greenko,sldc,rev0,3.3,50
AP,JED,JED,,14.48217,77.058134,104,48,yes,no,POLY,POLY,Greenko,sldc,rev0,3.9,12
AP,POLY,POLY,,14.5409,77.0715,104,48,yes,yes,POLY,POLY,Greenko,sldc,rev0,3.5,12
TN,Poovani,POOVANI,,8.8905,77.7862,106,198,yes,yes,Poovani,Poovani,Greenko,remc,revda1/revda4,2.9,100
MH,RATNAGIRI,RATNAGIRI,,17.2855,73.8648,80,96,yes,yes,RATNAGIRI,RATNAGIRI,Greenko,remc,revda1/revda4,3.5,61
AP,RAYALA,RAYALA,,14.6407,77.3515,90,159.2,yes,yes,RAYALA,RAYALA,Greenko,sldc,rev0,4,86
AP,RAYALASEEMA,RAYALASEEMA,,14.7395,77.3399,90,10,yes,no,RAYALASEEMA,RAYALASEEMA,Greenko,sldc,rev0,4.5,5
AP,GUTTASEEMA,SAIPURAM,,14.478968,77.22213,104,144.5,yes,no,SAIPURAM,SAIPURAM,Greenko,sldc,rev0,3.8,13
AP,SAIPURAM,SAIPURAM,,14.518,77.2121,120,144.5,yes,yes,SAIPURAM,SAIPURAM,Greenko,sldc,rev0,3.3,51
AP,VAYUPUTRA,SAIPURAM,,14.46098,77.23352,104,144.5,yes,no,SAIPURAM,SAIPURAM,Greenko,sldc,rev0,4,10
AP,SANDLA,SANDLA,,15.019496,77.225373,90,50.4,yes,no,SANDLA,SANDLA,Greenko,sldc,rev0,2.8,24
